model,method,responses,valid_responses,valid_rate,indifferent_responses,indifference_rate,mean_strength,median_strength,min_strength,max_strength
openai/gpt-oss-120b,explicit_indifference,270,270,1.0,89,0.3296296296296296,,,,
openai/gpt-oss-120b,forced_choice,270,270,1.0,0,0.0,,,,
openai/gpt-oss-120b,preference_strength,270,270,1.0,0,0.0,4.1296,4.0,3.0,5.0
qwen/qwen3.8-27b,explicit_indifference,270,270,1.0,15,0.05555555555555555,,,,
qwen/qwen3.8-27b,forced_choice,270,270,1.0,0,0.0,,,,
qwen/qwen3.8-27b,preference_strength,270,270,1.0,0,0.0,3.2481,3.0,2.0,4.0
