model,method,responses,valid_responses,valid_rate,indifferent_responses,indifference_rate,mean_strength,median_strength,min_strength,max_strength
openai/gpt-oss-120b,explicit_indifference,180,180,1.0,57,0.31666666666666665,,,,
openai/gpt-oss-120b,forced_choice,180,180,1.0,0,0.0,,,,
openai/gpt-oss-120b,preference_strength,180,180,1.0,0,0.0,4.15,4.0,3.0,5.0
qwen/qwen3.8-27b,explicit_indifference,180,180,1.0,12,0.06666666666666667,,,,
qwen/qwen3.8-27b,forced_choice,180,180,1.0,0,0.0,,,,
qwen/qwen3.8-27b,preference_strength,180,180,1.0,0,0.0,3.2,3.0,2.0,4.0
